"pesquisa_id","pesquisa_nome","data_cadastro","data_inicio","data_fim","ativo","entrevistado_id","entrevistado_sexo","entrevistado_data_nascimento","entrevistado_endereco_id","entrevistado_bairro","entrevistado_cidade","entrevistado_uf","genero_id","genero","pesquisa_pergunta_id","pesquisa_pergunta_tipo_id","pesquisa_pergunta_tipo","pergunta_texto"
1,"Mobilidade e desafios de comunidades insulares","2024-09-30 00:30:39.134392","2024-09-09 00:00:00","2024-11-09 00:00:00",True,1,"M","1979-08-09",1,"Centro","Ilha Bela","SP",1,"Cisgênero (Quando se identifica com seu sexo biológico)",1,1,"Escolha única","Qual é o principal meio de transporte que você utiliza para se deslocar dentro da ilha?"
1,"Mobilidade e desafios de comunidades insulares","2024-09-30 00:30:39.134392","2024-09-09 00:00:00","2024-11-09 00:00:00",True,1,"M","1979-08-09",1,"Centro","Ilha Bela","SP",1,"Cisgênero (Quando se identifica com seu sexo biológico)",2,2,"Múltipla escolha","Quais das seguintes opções você considera necessárias para melhorar a mobilidade na ilha? (Selecione todas que se aplicam)"
1,"Mobilidade e desafios de comunidades insulares","2024-09-30 00:30:39.134392","2024-09-09 00:00:00","2024-11-09 00:00:00",True,1,"M","1979-08-09",1,"Centro","Ilha Bela","SP",1,"Cisgênero (Quando se identifica com seu sexo biológico)",3,4,"Sim/Não/NI","Você acha que o transporte público na ilha é eficiente?"
1,"Mobilidade e desafios de comunidades insulares","2024-09-30 00:30:39.134392","2024-09-09 00:00:00","2024-11-09 00:00:00",True,1,"M","1979-08-09",1,"Centro","Ilha Bela","SP",1,"Cisgênero (Quando se identifica com seu sexo biológico)",4,5,"Verdadeiro/Falso","Caminhar é uma forma segura de locomoção na sua comunidade?"
1,"Mobilidade e desafios de comunidades insulares","2024-09-30 00:30:39.134392","2024-09-09 00:00:00","2024-11-09 00:00:00",True,1,"M","1979-08-09",1,"Centro","Ilha Bela","SP",1,"Cisgênero (Quando se identifica com seu sexo biológico)",5,6,"Texto Livre","Descreva como a mobilidade impacta sua rotina diária na ilha."
1,"Mobilidade e desafios de comunidades insulares","2024-09-30 00:30:39.134392","2024-09-09 00:00:00","2024-11-09 00:00:00",True,1,"M","1979-08-09",1,"Centro","Ilha Bela","SP",1,"Cisgênero (Quando se identifica com seu sexo biológico)",6,3,"Sim/Não","O transporte coletivo da ilha opera de maneira sustentável?"
1,"Mobilidade e desafios de comunidades insulares","2024-09-30 00:30:39.134392","2024-09-09 00:00:00","2024-11-09 00:00:00",True,1,"M","1979-08-09",1,"Centro","Ilha Bela","SP",1,"Cisgênero (Quando se identifica com seu sexo biológico)",7,1,"Escolha única","Qual a frequência com que você utiliza serviços de transporte na ilha?"
2,"Saúde e bem-estar nas ilhas","2024-09-30 00:30:39.134392","2024-09-15 00:00:00","2024-11-20 00:00:00",True,2,"F","1985-05-16",2,"Praia","Ilha Grande","RJ",1,"Cisgênero (Quando se identifica com seu sexo biológico)",8,3,"Sim/Não","Você tem acesso regular a serviços de saúde na ilha?"
2,"Saúde e bem-estar nas ilhas","2024-09-30 00:30:39.134392","2024-09-15 00:00:00","2024-11-20 00:00:00",True,2,"F","1985-05-16",2,"Praia","Ilha Grande","RJ",1,"Cisgênero (Quando se identifica com seu sexo biológico)",9,2,"Múltipla escolha","Quais serviços de saúde são mais necessários na sua comunidade? (Selecione todos que se aplicam)"
2,"Saúde e bem-estar nas ilhas","2024-09-30 00:30:39.134392","2024-09-15 00:00:00","2024-11-20 00:00:00",True,2,"F","1985-05-16",2,"Praia","Ilha Grande","RJ",1,"Cisgênero (Quando se identifica com seu sexo biológico)",10,4,"Sim/Não/NI","Os postos de saúde funcionam de maneira adequada?"
